time="2023-12-25T11:38:08.674" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:08.674" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:11.676" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:11.676" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:14.677" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:14.677" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:17.679" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:17.679" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:20.681" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:20.681" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:23.683" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:23.683" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:26.684" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:26.684" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:29.686" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:29.686" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:32.688" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:32.688" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:35.689" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:35.689" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:38.691" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:38.691" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:41.693" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:41.693" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:44.694" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:44.695" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:47.696" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:47.696" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:50.698" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:50.698" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:53.706" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:53.706" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:56.708" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:56.708" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
