hostname,value,timestamp,id
node_3,160.4745297,1696162756,InSegs
node_3,-239.9239717,1696162756,OutSegs
node_1,158.3423804,1696162756,InSegs
node_1,-232.2533,1696162756,OutSegs
node_2,52.2056894,1696162756,InSegs
node_2,-141.1800504,1696162756,OutSegs
master,154.513748,1696162761,InSegs
master,-263.158904,1696162761,OutSegs
node_3,49.525848,1696162761,InSegs
node_3,-133.842698,1696162761,OutSegs
node_1,108.621286,1696162761,InSegs
node_1,-183.91004,1696162761,OutSegs
node_2,192.98612,1696162761,InSegs
node_2,-284.4204,1696162761,OutSegs
master,209.743732,1696162766,InSegs
master,-354.898594,1696162766,OutSegs
node_3,153.2741595,1696162766,InSegs
node_3,-228.7572975,1696162766,OutSegs
node_1,98.578722,1696162766,InSegs
node_1,-170.28995,1696162766,OutSegs
node_2,10.6092526,1696162766,InSegs
node_2,-101.101844,1696162766,OutSegs
master,194.88394,1696162771,InSegs
master,-323.451402,1696162771,OutSegs
node_3,54.6,1696162771,InSegs
node_3,-138.199996,1696162771,OutSegs
node_1,172.557256,1696162771,InSegs
node_1,-245.623816,1696162771,OutSegs
node_2,203.20462,1696162771,InSegs
node_2,-291.477782,1696162771,OutSegs
master,177.289674,1696162776,InSegs
master,-308.57405,1696162776,OutSegs
node_3,159.3166967,1696162776,InSegs
node_3,-237.5167124,1696162776,OutSegs
node_1,22.8427554,1696162776,InSegs
node_1,-94.9761816,1696162776,OutSegs
node_2,36.536438,1696162776,InSegs
node_2,-128.43916,1696162776,OutSegs
master,218.383362,1696162781,InSegs
master,-353.57085,1696162781,OutSegs
node_3,49.6024992,1696162781,InSegs
node_3,-133.5192126,1696162781,OutSegs
node_1,199.599998,1696162781,InSegs
node_1,-270.999996,1696162781,OutSegs
node_2,169.2635526,1696162781,InSegs
node_2,-256.360826,1696162781,OutSegs
master,132.6961078,1696162786,InSegs
master,-251.7539578,1696162786,OutSegs
node_3,151.0808076,1696162786,InSegs
node_3,-229.764085,1696162786,OutSegs
node_1,23.993642,1696162786,InSegs
node_1,-98.324994,1696162786,OutSegs
node_2,52.81427,1696162786,InSegs
node_2,-145.14108,1696162786,OutSegs
master,233.88658,1696162791,InSegs
master,-365.763986,1696162791,OutSegs
node_3,30.6705252,1696162791,InSegs
node_3,-113.389418,1696162791,OutSegs
node_1,178.1172887,1696162791,InSegs
node_1,-253.3859127,1696162791,OutSegs
node_2,149.5124916,1696162791,InSegs
node_2,-237.185684,1696162791,OutSegs
master,325.940862,1696162796,InSegs
master,-438.03702,1696162796,OutSegs
node_3,172.3147946,1696162796,InSegs
node_3,-254.979591,1696162796,OutSegs
node_1,47.3108821,1696162796,InSegs
node_1,-122.9108773,1696162796,OutSegs
node_2,55.2732254,1696162796,InSegs
node_2,-147.8732174,1696162796,OutSegs
master,195.603836,1696162801,InSegs
master,-338.533094,1696162801,OutSegs
node_3,20.0192657,1696162801,InSegs
node_3,-103.0026821,1696162801,OutSegs
node_1,159.7782118,1696162801,InSegs
node_1,-230.1782,1696162801,OutSegs
node_2,144.0000026,1696162801,InSegs
node_2,-230.400002,1696162801,OutSegs
master,168.193384,1696162806,InSegs
master,-280.612848,1696162806,OutSegs
node_3,180.312134,1696162806,InSegs
node_3,-258.945038,1696162806,OutSegs
node_1,128.666006,1696162806,InSegs
node_1,-204.2217,1696162806,OutSegs
node_2,148.6204265,1696162806,InSegs
node_2,-237.5028685,1696162806,OutSegs
master,199.354954,1696162811,InSegs
master,-341.012932,1696162811,OutSegs
node_3,28.011301,1696162811,InSegs
node_3,-110.4454576,1696162811,OutSegs
node_1,80.4449427,1696162811,InSegs
node_1,-153.4892647,1696162811,OutSegs
node_2,68.5063944,1696162811,InSegs
node_2,-156.8239456,1696162811,OutSegs
master,262.581444,1696162816,InSegs
master,-401.974904,1696162816,OutSegs
node_3,176.959532,1696162816,InSegs
node_3,-256.04214,1696162816,OutSegs
node_1,197.2823513,1696162816,InSegs
node_1,-269.0151213,1696162816,OutSegs
node_2,202.3425801,1696162816,InSegs
node_2,-295.5231441,1696162816,OutSegs
master,125.243434,1696162821,InSegs
master,-240.172534,1696162821,OutSegs
node_3,20.7186743,1696162821,InSegs
node_3,-103.2858637,1696162821,OutSegs
node_1,7.9177894,1696162821,InSegs
node_1,-81.3850154,1696162821,OutSegs
node_2,10.6574039,1696162821,InSegs
node_2,-100.6768495,1696162821,OutSegs
master,314.600302,1696162826,InSegs
master,-471.65827,1696162826,OutSegs
node_3,175.4118584,1696162826,InSegs
node_3,-254.71147,1696162826,OutSegs
node_1,207.488904,1696162826,InSegs
node_1,-278.88892,1696162826,OutSegs
node_2,198.677822,1696162826,InSegs
node_2,-288.604648,1696162826,OutSegs
master,42.4845406,1696162831,InSegs
master,-142.3814686,1696162831,OutSegs
node_3,20.3929242,1696162831,InSegs
node_3,-102.8602656,1696162831,OutSegs
node_1,26.278394,1696162831,InSegs
node_1,-100.700032,1696162831,OutSegs
node_2,28.6055488,1696162831,InSegs
node_2,-119.3473614,1696162831,OutSegs
master,314.39978,1696162836,InSegs
master,-471.754616,1696162836,OutSegs
node_3,186.840118,1696162836,InSegs
node_3,-265.256078,1696162836,OutSegs
node_1,174.321602,1696162836,InSegs
node_1,-247.499964,1696162836,OutSegs
node_2,193.789826,1696162836,InSegs
node_2,-281.321154,1696162836,OutSegs
master,55.052252,1696162841,InSegs
master,-151.768974,1696162841,OutSegs
node_3,27.3413998,1696162841,InSegs
node_3,-110.3584243,1696162841,OutSegs
node_1,49.857938,1696162841,InSegs
node_1,-125.279744,1696162841,OutSegs
node_2,46.498634,1696162841,InSegs
node_2,-137.47904,1696162841,OutSegs
master,272.896058,1696162846,InSegs
master,-426.101942,1696162846,OutSegs
node_3,182.0074702,1696162846,InSegs
node_3,-259.1235412,1696162846,OutSegs
node_1,151.342076,1696162846,InSegs
node_1,-223.52026,1696162846,OutSegs
node_2,155.9013592,1696162846,InSegs
node_2,-245.120948,1696162846,OutSegs
master,97.295078,1696162851,InSegs
master,-190.18003,1696162851,OutSegs
node_3,35.456034,1696162851,InSegs
node_3,-117.941218,1696162851,OutSegs
node_1,126.989066,1696162851,InSegs
node_1,-201.61156,1696162851,OutSegs
